Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,9.39,2.21,0.235,862.38,68.58,2.53,0.0369,318.01,118.39,0.85,0.0072,311.74,63.54,0.32,0.005,301.88
August,1,0:30,8.43,1.97,0.2333,494.17,37.74,0.4,0.0105,331.03,89.57,0.86,0.0096,305.49,49.73,0.11,0.0023,310.56
August,1,1:00,5.12,0.81,0.1583,493.84,24.58,0.73,0.0299,376.06,59.05,0.59,0.01,313.42,37.11,0.1,0.0028,324.43
August,1,1:30,3.92,0.39,0.0983,618.46,10.21,0.41,0.0403,340.87,46.88,0.58,0.0123,307.89,45.81,1.7,0.0372,398.57
August,1,2:00,3.19,0.06,0.02,655.69,9.23,0.35,0.0383,355.28,37.11,0.88,0.0237,345.95,29.29,1.0,0.0342,385.64
August,1,2:30,3.32,0.0,0.0,749.01,9.11,0.08,0.0083,341.68,35.89,0.4,0.0112,331.15,19.1,0.26,0.0135,449.67
August,1,3:00,3.41,0.01,0.0033,368.91,7.17,0.7,0.0983,379.51,20.65,0.8,0.0389,327.68,7.02,0.77,0.1102,442.73
August,1,3:30,3.66,0.0,0.0,444.96,7.34,0.17,0.0233,304.51,18.19,0.27,0.0146,349.36,7.17,0.99,0.1375,306.26
August,1,4:00,3.08,0.01,0.002,295.89,6.41,0.02,0.0033,268.59,18.9,0.61,0.0322,403.7,6.32,0.84,0.1336,341.9
August,1,4:30,3.01,0.01,0.002,243.13,5.56,0.39,0.07,224.49,19.12,0.63,0.0328,406.01,7.15,0.82,0.114,327.31
August,1,5:00,3.67,0.09,0.0249,277.78,5.48,0.04,0.0067,600.8,21.18,0.53,0.0248,392.39,14.59,0.8,0.0551,326.98
August,1,5:30,5.13,0.13,0.0249,315.86,10.63,0.09,0.0087,278.68,21.29,0.95,0.0448,296.62,12.96,0.23,0.0179,342.4
August,1,6:00,5.5,0.91,0.1653,295.39,9.85,0.44,0.0451,282.27,35.06,0.6,0.0171,245.79,16.52,0.58,0.0349,274.55
August,1,6:30,4.59,0.66,0.1443,267.7,9.76,3.32,0.3399,305.26,58.92,0.88,0.0149,255.58,21.59,1.29,0.0596,255.83
August,1,7:00,14.34,3.38,0.2359,282.39,17.87,0.11,0.0059,278.68,110.27,1.05,0.0095,265.26,38.76,0.65,0.0168,285.91
August,1,7:30,25.89,4.42,0.1708,327.88,31.29,0.52,0.0165,311.03,161.92,1.8,0.0111,264.07,67.1,1.13,0.0169,299.66
August,1,8:00,49.11,0.72,0.0147,270.75,50.27,0.43,0.0086,304.85,284.26,1.71,0.006,277.89,122.99,1.38,0.0112,285.7
August,1,8:30,77.42,0.68,0.0088,279.18,65.49,0.41,0.0063,304.21,407.79,2.37,0.0058,284.7,154.37,2.08,0.0135,302.32
August,1,9:00,111.17,0.58,0.0052,287.97,167.16,0.57,0.0034,309.53,571.91,2.97,0.0052,296.04,266.37,7.43,0.0279,297.87
August,1,9:30,136.65,1.28,0.0094,274.84,255.91,1.77,0.0069,312.34,723.45,13.89,0.0192,320.17,324.96,7.41,0.0228,288.25
August,1,10:00,159.31,0.8,0.005,265.37,343.11,1.78,0.0052,314.83,880.81,14.62,0.0166,315.54,366.6,7.44,0.0203,292.04
August,1,10:30,215.39,1.46,0.0068,277.5,370.34,6.7,0.0181,326.89,991.96,21.82,0.022,328.19,422.3,14.65,0.0347,322.29
August,1,11:00,240.56,0.87,0.0036,295.89,419.04,7.75,0.0185,326.22,1070.01,16.8,0.0157,332.28,473.35,10.27,0.0217,304.16
August,1,11:30,241.63,1.55,0.0064,284.86,493.18,9.42,0.0191,333.12,1088.35,12.95,0.0119,335.1,489.88,6.52,0.0133,306.64
August,1,12:00,265.53,4.51,0.017,293.34,505.46,7.08,0.014,327.77,1091.78,15.5,0.0142,335.38,516.63,4.65,0.009,307.97
August,1,12:30,276.71,3.96,0.0143,300.01,544.41,10.62,0.0195,330.03,1109.26,26.51,0.0239,333.36,528.86,8.57,0.0162,296.04
August,1,13:00,256.96,3.44,0.0134,300.15,602.55,16.57,0.0275,331.63,1109.13,19.96,0.018,332.18,521.17,8.7,0.0167,296.76
August,1,13:30,250.17,1.4,0.0056,298.78,595.6,20.67,0.0347,325.77,1089.52,20.92,0.0192,333.77,528.74,12.06,0.0228,306.93
August,1,14:00,250.4,2.28,0.0091,308.11,606.92,25.79,0.0425,338.76,1087.62,12.83,0.0118,337.49,533.61,11.42,0.0214,300.83
August,1,14:30,256.76,2.41,0.0094,303.5,621.18,21.06,0.0339,343.01,1078.64,11.43,0.0106,341.94,551.31,25.14,0.0456,309.93
August,1,15:00,248.2,1.44,0.0058,292.41,587.69,4.94,0.0084,333.44,1056.59,6.55,0.0062,347.83,523.57,18.48,0.0353,305.65
August,1,15:30,249.13,3.76,0.0151,297.59,572.4,4.41,0.0077,329.57,992.73,13.4,0.0135,346.6,489.88,24.79,0.0506,307.91
August,1,16:00,244.95,1.94,0.0079,313.35,578.31,2.95,0.0051,336.15,954.58,8.4,0.0088,334.84,473.35,12.17,0.0257,304.08
August,1,16:30,227.4,1.16,0.0051,302.68,545.25,3.11,0.0057,336.01,911.6,3.74,0.0041,341.52,423.3,4.53,0.0107,314.72
August,1,17:00,196.35,1.35,0.0069,310.18,555.34,3.39,0.0061,336.99,889.41,2.94,0.0033,341.25,419.31,1.76,0.0042,309.22
August,1,17:30,183.81,1.43,0.0078,320.23,521.59,6.47,0.0124,339.04,850.62,2.55,0.003,342.83,424.58,3.01,0.0071,305.5
August,1,18:00,168.76,1.6,0.0095,323.03,468.44,7.54,0.0161,342.9,804.91,3.94,0.0049,341.4,394.01,1.97,0.005,307.08
August,1,18:30,136.34,2.45,0.018,324.48,414.52,7.17,0.0173,337.96,656.21,2.89,0.0044,345.04,306.67,1.59,0.0052,299.4
August,1,19:00,109.85,0.83,0.0076,321.54,372.43,7.93,0.0213,339.53,621.4,3.29,0.0053,332.09,296.39,1.66,0.0056,295.76
August,1,19:30,72.69,0.69,0.0095,325.72,335.22,3.25,0.0097,324.38,503.12,2.62,0.0052,324.18,267.66,4.1,0.0153,307.3
August,1,20:00,62.05,2.38,0.0383,292.81,273.08,5.33,0.0195,328.57,480.85,3.03,0.0063,330.5,253.24,5.47,0.0216,324.11
August,1,20:30,55.23,4.72,0.0854,287.17,249.93,3.8,0.0152,320.29,441.91,2.34,0.0053,355.06,222.75,3.81,0.0171,302.42
August,1,21:00,47.25,5.05,0.1068,285.26,224.33,5.36,0.0239,319.54,361.53,2.02,0.0056,347.86,191.23,5.11,0.0267,304.21
August,1,21:30,34.14,2.13,0.0625,313.14,190.55,2.61,0.0137,326.72,279.13,0.84,0.003,344.8,148.55,2.7,0.0182,315.11
August,1,22:00,27.08,1.18,0.0436,400.48,139.57,0.81,0.0058,321.91,264.29,2.11,0.008,348.03,140.04,2.93,0.0209,320.69
